"treatment","microbe","time","15","30","45","60","75","90","105","120","135","150","165","180","195","210","225","240","255","270","285","300","315","330","345","360","375","390","405","420","435","450","465","480","495","510","525","540","555","570","585","600","615","630","645","660","675","690","705","720","735","750","765","780","795","810","825","840","855","870","885","900","915","930","945","960","975","990","1005","1020","1035","1050","1065","1080","1095","1110","1125","1140","1155","1170","1185","1200","1215","1230","1245","1260","1275","1290","1305","1320","1335","1350","1365","1380","1395","1410"
"","","A7",0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091
"","","A8",0.092,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091,0.091
"","","A9",0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
"","","B1",0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095
"","","B10",0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089,0.089
"","","B11",0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
"","","B12",0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
"sternal","s17-1","B2",0.141,0.141,0.139,0.137,0.137,0.136,0.136,0.136,0.145,0.136,0.138,0.138,0.141,0.143,0.164,0.149,0.155,0.166,0.174,0.181,0.199,0.225,0.26,0.303,0.352,0.4,0.446,0.491,0.533,0.572,0.605,0.635,0.674,0.703,0.738,0.768,0.8,0.827,0.854,0.881,0.901,0.925,0.949,0.97,0.99,1.01,1.03,1.052,1.07,1.094,1.109,1.125,1.142,1.159,1.177,1.191,1.204,1.212,1.223,1.23,1.237,1.24,1.244,1.242,1.242,1.244,1.242,1.24,1.238,1.24,1.235,1.235,1.233,1.232,1.23,1.229,1.229,1.226,1.224,1.223,1.222,1.219,1.22,1.219,1.212,1.21,1.209,1.212,1.21,1.21,1.211,1.21,1.216,1.215
"dufours","s17-1","B3",0.771,0.775,0.661,0.646,0.646,0.633,0.613,0.63,0.638,0.624,0.631,0.65,0.662,0.664,0.686,0.708,0.713,0.716,0.73,0.734,0.745,0.74,0.754,0.751,0.751,0.758,0.761,0.769,0.771,0.779,0.779,0.784,0.79,0.795,0.806,0.81,0.819,0.829,0.84,0.851,0.875,0.891,0.913,0.939,0.968,0.984,1.006,1.027,1.058,1.074,1.09,1.106,1.134,1.183,1.228,1.266,1.302,1.313,1.324,1.391,1.405,1.418,1.433,1.445,1.462,1.48,1.493,1.515,1.53,1.553,1.57,1.588,1.603,1.627,1.643,1.666,1.677,1.684,1.695,1.702,1.707,1.709,1.713,1.715,1.718,1.72,1.72,1.721,1.722,1.723,1.723,1.723,1.724,1.722
"control","s17-1","B4",0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.094,0.094,0.095,0.096,0.097,0.098,0.1,0.103,0.106,0.111,0.116,0.123,0.132,0.142,0.151,0.16,0.168,0.177,0.186,0.195,0.205,0.215,0.227,0.239,0.252,0.266,0.28,0.293,0.305,0.322,0.339,0.361,0.384,0.409,0.437,0.459,0.488,0.513,0.533,0.563,0.591,0.613,0.642,0.663,0.69,0.71,0.734,0.758,0.784,0.807,0.826,0.851,0.874,0.894,0.914,0.939,0.965,0.989,1.01,1.032,1.048,1.069,1.087,1.111,1.127,1.142,1.158,1.179,1.193,1.213,1.227,1.244,1.258,1.272,1.288
"dufours","s17-1","B5",0.779,0.77,0.769,0.718,0.726,0.727,0.69,0.679,0.65,0.662,0.676,0.662,0.676,0.685,0.689,0.7,0.697,0.717,0.717,0.721,0.734,0.741,0.746,0.761,0.765,0.77,0.777,0.789,0.791,0.802,0.81,0.814,0.823,0.829,0.838,0.842,0.854,0.863,0.869,0.882,0.893,0.907,0.927,0.952,0.969,1.003,1.036,1.05,1.062,1.083,1.098,1.11,1.122,1.136,1.146,1.163,1.232,1.245,1.26,1.286,1.311,1.329,1.35,1.37,1.391,1.413,1.437,1.462,1.485,1.516,1.542,1.566,1.592,1.615,1.634,1.65,1.666,1.677,1.685,1.695,1.696,1.7,1.702,1.703,1.706,1.708,1.708,1.706,1.706,1.706,1.706,1.705,1.704,1.703
"sternal","s17-1","B6",0.147,0.144,0.141,0.143,0.143,0.146,0.144,0.146,0.144,0.143,0.146,0.149,0.147,0.147,0.149,0.152,0.157,0.163,0.171,0.182,0.2,0.226,0.261,0.305,0.361,0.416,0.467,0.522,0.568,0.605,0.633,0.662,0.697,0.732,0.778,0.805,0.835,0.863,0.884,0.903,0.922,0.942,0.955,0.975,0.988,1.01,1.018,1.036,1.049,1.068,1.08,1.093,1.106,1.117,1.127,1.138,1.149,1.157,1.164,1.17,1.177,1.178,1.182,1.182,1.182,1.181,1.176,1.174,1.168,1.165,1.156,1.15,1.143,1.135,1.127,1.121,1.116,1.107,1.1,1.092,1.084,1.074,1.068,1.061,1.051,1.039,1.029,1.022,1.012,1.003,0.992,0.982,0.975,0.965
"control","s17-1","B7",0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.094,0.094,0.094,0.094,0.095,0.095,0.096,0.097,0.098,0.1,0.102,0.105,0.109,0.114,0.12,0.128,0.137,0.147,0.156,0.165,0.174,0.183,0.193,0.203,0.213,0.224,0.236,0.251,0.267,0.281,0.297,0.311,0.331,0.351,0.374,0.4,0.428,0.454,0.487,0.515,0.536,0.563,0.594,0.623,0.648,0.685,0.707,0.734,0.753,0.775,0.799,0.833,0.842,0.872,0.886,0.906,0.927,0.942,0.97,0.981,1.011,1.024,1.051,1.069,1.092,1.111,1.127,1.147,1.164,1.189,1.202,1.22,1.238,1.248,1.278,1.276
"","","B8",0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093,0.093
"","","B9",0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088
