"","treatment","microbe","gland","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"11","low","Ecoli","sternal",TRUE,"richards",FALSE,FALSE,0,0.00189715821634132,478.895254743133,0.832121537398982,1812.1177555745,5.78564718002333e-05,7.62578213497008,0.00302413493463312,0.00180198432022994,0.00199233211245271,466.350843131108,491.439666355159,0.827146835431511,0.837096239366454,0.00178375953161287,0.00201055690106978,463.948721758592,493.841787727675,0.826194232927101,0.838048841870863,0.00178661253918739,457.761045242787,0.871944868239136,1811.28694072891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","low","Smarcescens","dufours",TRUE,"richards",FALSE,FALSE,0,0.00344755213635982,400.779042017385,1.25358648551715,2873.19738751002,0.000107874920798904,6.20016987930225,0.00399055904647195,0.00327009789164562,0.00362500638107401,390.579762565933,410.978321468837,1.2470220158857,1.2601509551486,0.00323611729159397,0.00365898698112567,388.626709053952,412.931374980817,1.24576498978607,1.26140798124824,0.00454859293171674,435.78092048118,1.30847156752867,2877.22307631151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","high","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.0022317312147719,415.949910931086,0.684156034929951,1591.15235066403,0.000213579427350594,16.7859555187313,0.0058249750327455,0.00188039305678018,0.00258306937276363,388.337014102773,443.562807759399,0.674573951001084,0.693738118858817,0.00181311553716474,0.00265034689237907,383.049438114373,448.850383747799,0.67273908386577,0.695572985994132,0.00211119875909625,397.482734543954,0.761553621966187,1592.63025160564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","medium","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00228146655874691,464.885409030228,0.766338897972005,1733.54454186397,0.000186234668376812,15.6768290433524,0.00595230555330307,0.00197511052926706,0.00258782258822677,439.097025253914,490.673792806543,0.756547355336821,0.776130440607188,0.00191644660872836,0.00264648650876547,434.158824105258,495.611993955199,0.754672379087531,0.778005416856479,0.00201042355852483,435.523221492291,0.837831693797864,1732.39450858986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","medium","Ecoli","sternal",TRUE,"richards",FALSE,FALSE,0,0.00204135291235296,440.8817877706,0.815301326359562,1829.59423617177,8.99300268201111e-05,10.5384774262334,0.00392228926731607,0.00189341801823388,0.00218928780647205,423.545992404446,458.217583136754,0.808849160514827,0.821753492204297,0.00186509005978555,0.00221761576492038,420.226372015183,461.537203526018,0.807613639395622,0.822989013323501,0.00205597336867183,429.963142564057,0.860061095403238,1828.91889713188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","high","Ecoli","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.000544017295792447,1372.16543564228,0.0610226928726844,88.9558567710789,0.000395793101563717,44.8162652247354,0.00310437434290014,-0.000107062356279867,0.00119509694786476,1298.44267934759,1445.88819193697,0.0559159970786136,0.0661293886667551,-0.000231737183272438,0.00131977177485733,1284.32555580179,1460.00531548276,0.0549381191606001,0.0671072665847686,0.000349035392532152,1356.47941878961,0.109517289278852,89.6100654585363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","high","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00134011863915727,573.473490855052,0.37851193816921,816.693806737154,0.000180809931904254,20.8129035436169,0.00479286101361582,0.00104268630117477,0.00163755097713977,539.236264525802,607.710717184302,0.370627681801812,0.386396194536608,0.000985731172624929,0.00169450610568961,532.680199909563,614.266781800541,0.369117930582523,0.387905945755897,0.00210205559983383,598.091297396165,0.451221292038035,816.581538547641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","low","Ecoli","dufours",TRUE,"logistic",FALSE,FALSE,0,0.00158440569189758,904.218426491168,0.745610970593631,1308.90257780848,6.18256169832167e-05,10.4375179732362,0.00394379731752724,0.00148270255196018,0.00168610883183497,887.048709425194,921.388143557141,0.739123424006299,0.752098517180963,0.00146322748261047,0.00170558390118468,883.760891263625,924.675961718711,0.737881127851278,0.753340813335985,0.00253627769848673,1024.06313856444,0.851767114003665,1310.11126837724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","high","Smarcescens","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00409787187052773,319.452916966274,1.79925027627933,4237.39407534598,9.76136985923423e-05,5.9688129287888,0.00464260109519709,0.00393729733634333,0.00425844640471214,309.634219698416,329.271614234131,1.79161319747773,1.80688735508092,0.00390654902128674,0.00428919471976872,307.754043625848,331.1517903067,1.79015077813274,1.80834977442591,0.00547924149390866,388.768952832171,1.85612074702118,4235.83851703807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","medium","Smarcescens","dufours",TRUE,"gompertz",FALSE,FALSE,0,0.00296524762745817,440.422071396653,0.991558798658179,2241.47282162465,0.000147790776855619,9.08544853400928,0.00497581629801302,0.00272213179953068,0.00320836345538567,425.476508558207,455.367634235098,0.983373580847947,0.99974401646841,0.00267557770482116,0.00325491755009519,422.614592269994,458.229550523311,0.981806198714073,1.00131139860228,0.00430474585109279,14.8855988579717,1.06066534109534,2241.30914895406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","medium","Smarcescens","sternal",TRUE,"gompertz",FALSE,FALSE,0,0.00338708802087165,264.325151342172,1.7780118055405,4135.819584191,6.28522600545822e-05,5.259288699203,0.00428651917636418,0.00328369605308187,0.00349047998866144,255.673621431983,272.97668125236,1.77096048149538,1.78506312958562,0.00326389759116467,0.00351027845057863,254.016945491734,274.633357192609,1.76961022795482,1.78641338312617,0.00430825828623784,339.223329560011,1.82784877543352,4135.45656364741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","control","Smarcescens","dufours",TRUE,"richards",FALSE,FALSE,0,0.00318983388976707,279.11455787661,1.71701565545048,3943.70417069798,4.72116302905327e-05,3.66317204450842,0.00308258660413504,0.00311217075793914,0.00326749702159499,273.088639863394,285.140475889826,1.71194480048668,1.72208651041429,0.00309729909439762,0.00328236868513651,271.934740669373,286.294375083846,1.71097378570638,1.72305752519459,0.00371056786175954,266.190832823127,1.75025873396539,3943.68373180359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","control","Ecoli","sternal",TRUE,"logistic",FALSE,FALSE,0,0.00140577055523606,720.305580822373,1.15932332923234,2042.12495665952,3.45127319516346e-05,11.3468201579611,0.00572569993400581,0.00134899711117562,0.0014625439992965,701.640061662527,738.971099982219,1.1499045528409,1.16874210562377,0.00133812560061085,0.00147341550986126,698.065813312769,742.545348331977,1.14810095736168,1.17054570110299,0.00147324694057051,688.91985263456,1.24189959830355,2033.2666031453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","control","Smarcescens","dufours",TRUE,"richards",FALSE,FALSE,0,0.0029818875801366,278.949843552754,1.6600724847329,3821.67850859691,4.19087846621653e-05,4.14158558204219,0.00311246635914022,0.00291294762936733,0.00305082753090586,272.136935270295,285.762751835214,1.65495247757211,1.66519249189368,0.00289974636219875,0.00306402879807444,270.832335811952,287.067351293557,1.65397205066898,1.66617291879681,0.00322640607827749,248.713824491205,1.69325865086966,3819.89316700678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
