"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"27","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00361445379530564,599.350494119933,1.61084238502619,1005.45324345867,3.7525846948562e-05,2.9094130426974,0.00518771312377849,0.00355272377707525,0.00367618381353602,594.564509664696,604.136478575171,1.60230859693757,1.6193761731148,0.00354090313528646,0.00368800445532482,593.648044556247,605.05294368362,1.60067446730358,1.62101030274879,0.00724576959786378,752.497617604191,1.59994786243287,1005.98773276107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00253130321468417,207.302851549102,1.47159151843689,1320.26002936986,4.93434472041579e-05,5.62488687128059,0.00849791081704494,0.00245013324403333,0.00261247318533501,198.049912645846,216.555790452359,1.45761245514285,1.48557058173093,0.00243459005816403,0.00262801637120432,196.278073281392,218.327629816812,1.45493561323548,1.4882474236383,0.00523502576976547,250.572664119311,1.49810594091156,1314.28101201108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","LB","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00309346791537584,254.774724407793,1.68144857245667,1465.02765454413,4.36968601956461e-05,3.83272415300111,0.0067727103673856,0.003021586580354,0.00316534925039768,248.469893176106,261.07955563948,1.67030746390232,1.69258968101102,0.00300782206939237,0.0031791137613593,247.262585067911,262.286863747675,1.66817406013659,1.69472308477675,0.00395999267420417,247.405205016888,1.68509271548245,1462.62301450413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00238076636996685,539.811662872915,1.45046951146612,842.655329501471,1.49377625743053e-05,2.13604943270811,0.00564754202577158,0.00235619375053212,0.00240533898940158,536.29786155611,543.32546418972,1.44117930483372,1.45975971809851,0.00235148835532121,0.00241004438461249,535.625005984807,543.998319761023,1.4394003290956,1.46153869383663,0.00287844325303932,593.267410160239,1.41816853155905,845.342799641095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00268227438530009,205.784626944171,1.65535759219524,1454.65112521376,5.94265717980328e-05,6.70066939365621,0.0118019542635632,0.00258451767469233,0.00278003109590786,194.762025791607,216.807228096735,1.63594337743168,1.67477180695881,0.00256579830457595,0.00279875046602424,192.651314932605,218.917938955737,1.63222576183866,1.67848942255183,0.00570150504764763,251.470592543016,1.64451639577115,1447.86196440962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","LB","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00159615201416247,600.085390051452,1.36820592587586,549.007088804617,6.46169898255338e-06,1.50819852913871,0.0106795212106066,0.00158552251933617,0.00160678150898877,597.604403471018,602.566376631885,1.35063811348441,1.38577373826731,0.00158348708415666,0.00160881694416827,597.12932093434,603.041459168564,1.34727406430307,1.38913778744865,0.0017029748954219,610.353591494877,1.13638451942015,548.742202242976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","LB","S17-1","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00159679768419117,586.06774284324,1.47140566371389,573.275800398189,1.12643104520759e-05,2.57205393052227,0.0167230269318832,0.0015782678934975,0.00161532747488483,581.836714127531,590.298771558949,1.44389628441094,1.49891504301683,0.0015747196357051,0.00161887573267724,581.026517139416,591.108968547063,1.4386285309274,1.50418279650038,0.00186298022605129,603.712556413468,1.19572366401137,570.694060001467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","LB","2698b","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00343880310041358,270.554802540583,1.70511377515973,1512.28450169673,3.06409681232102e-05,2.30485216842519,0.00447816419487943,0.0033883987078509,0.00348920749297626,266.763320723523,274.346284357642,1.69774719505915,1.71248035526031,0.00337874680289209,0.00349885939793507,266.037292290469,275.072312790696,1.69633657333777,1.71389097698169,0.00370993636032958,295.352029299073,1.71587315711913,1510.63434127554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","high","S17-1","6july2022",TRUE,"richards",FALSE,FALSE,0,0.00310447646033799,621.604658234205,1.58136832778936,914.013076614727,5.08252382827274e-05,5.24487804525922,0.0101516809535242,0.0030208689433629,0.00318808397731307,612.976833849753,630.232482618656,1.56466881262081,1.59806784295791,0.00300485899330384,0.00320409392737213,611.324697265497,631.884619202913,1.56147103312045,1.60126562245827,0.00644660239680479,774.212896153013,1.60708638298905,914.133348790794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","high","2698b","6july2022",TRUE,"gompertz",FALSE,FALSE,0,0.00278758496369542,215.389927358717,1.59124454293713,1424.23897395653,5.30463791118303e-05,5.40464399195952,0.00882802533883768,0.00270032367005646,0.00287484625733439,206.499287991944,224.280566725491,1.57672244125474,1.60576664461952,0.00268361406063624,0.00289155586675461,204.796825134477,225.983029582958,1.57394161327301,1.60854747260125,0.00562836347916314,252.665521490853,1.59851531645787,1417.89636890504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
