"treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"muscle","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00265938587253576,282.360637938061,1.40317521816243,3110.13117398603,8.1991758754309e-05,8.76805300110175,0.00581434081908324,0.00252450942938492,0.00279426231568659,267.937190751249,296.784085124873,1.39361062751504,1.41273980880982,0.00249868202537731,0.0028200897196942,265.175254055902,299.54602182022,1.39177911015703,1.41457132616783,0.00437126930042683,312.642173556398,1.47397146564573,3110.43952359546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00417878744359234,269.03251300943,1.60384384678533,3710.12954714079,0.000181951769376945,9.09123636642503,0.00751991731967636,0.00387947678296726,0.00447809810421741,254.077429186661,283.987596832199,1.59147358279446,1.6162141107762,0.00382216197561353,0.00453541291157115,251.213689731237,286.851336287623,1.58910480883877,1.6185828847319,0.00658761516128633,293.407678701857,1.70261729056635,3711.80054152025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00340975579582805,279.384130923082,1.59285742812336,3627.0268290284,0.000149352049318792,12.077573229074,0.00836703331442508,0.00316407167469864,0.00365543991695746,259.516522961256,299.251738884909,1.57909365832113,1.60662119792559,0.00311702577916322,0.00370248581249288,255.712087394097,303.056174452068,1.57645804282708,1.60925681341963,0.00564594303298631,285.195041065821,1.69516711106326,3623.27117352557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.0019045152775173,513.841479519497,1.46145784945513,2698.06065322671,3.40728691735238e-05,7.1761253666608,0.0052161553954058,0.00184846540772685,0.00196056514730774,502.03675329134,525.646205747654,1.45287727382969,1.47003842508057,0.00183773245393719,0.0019712981010974,499.776273800842,527.906685238152,1.45123418488014,1.47168151403013,0.00357861350533679,601.356753069167,1.50119265456448,2688.35432711981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.0031944735794157,269.759376474983,1.53124229159783,3456.18997528704,0.000101603543452651,8.24618725819597,0.0060903422160099,0.00302733575043609,0.00336161140839531,256.194398435251,283.324354514716,1.5212236786525,1.54126090454317,0.0029953306342485,0.00339361652458289,253.596849448919,285.921903501048,1.51930522085445,1.54317936234121,0.00508054629605142,285.742037050553,1.60338219875352,3457.22013834791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00314269318364252,297.249137514389,1.50685355654049,3359.59883628773,0.000116698358323914,9.62669559541279,0.00705208503764671,0.00295072438419968,0.00333466198308536,281.413223259935,313.085051768843,1.49525287665356,1.51845423642742,0.00291396440132765,0.00337142196595739,278.38081414738,316.117460881398,1.4930314698667,1.52067564321428,0.0054047265941295,307.987045613828,1.59545483050048,3358.6491856481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00332227680597925,557.617533825467,1.37609625079739,2865.33834958429,0.000177672294117636,15.8710013543243,0.00628903451690548,0.00303000588215574,0.00361454772980276,531.509736597603,583.72533105333,1.36575078901708,1.3864417125777,0.00297403910950868,0.00367051450244981,526.510371170991,588.724696479942,1.36376974314425,1.38842275845052,0.00338834371826337,565.16133415927,1.47231785559479,2858.4045312119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00309247473215252,506.277014910804,1.43800626995509,3032.75466210878,0.000143573118297312,15.3877872403222,0.00617733136309982,0.00285629695255344,0.0033286525117516,480.964104900474,531.589924921135,1.42784455986279,1.44816798004739,0.00281107142028979,0.00337387804401525,476.116951919773,536.437077901836,1.42589870048342,1.45011383942677,0.00326282703984704,530.813700026983,1.53007810788228,3024.02982340701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.000246305541147055,1272.73349630413,0.281877018711984,292.289189954018,6.87577657675003e-06,20.5894706837139,0.00400531457932576,0.000234994888678301,0.000257616193615809,1238.86381702942,1306.60317557884,0.275288276228993,0.288465761194975,0.000232829019056625,0.000259782063237485,1232.37813376405,1313.08885884421,0.274026602136506,0.289727435287463,0.000315411270269377,1342.07267227821,0.288663962147385,296.817585581437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gland","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00423214738068467,370.775254857938,1.20171205487939,2727.25058811817,0.000351961734232887,12.9050601198367,0.00914257320314947,0.00365317032787157,0.00481112443349777,349.546430960807,392.00407875507,1.18667252196021,1.21675158779857,0.00354230238158821,0.00492199237978113,345.481337023058,396.069172692818,1.18379261140122,1.21963149835757,0.00415568712538626,353.190682482093,1.32998605305801,2729.2884102524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.0028102054952563,351.34956208221,1.44995358011835,3123.60402557161,8.34416809300656e-05,8.255762156785,0.0058086326124172,0.00267294393012634,0.00294746706038626,337.768833334299,364.930290830121,1.44039837947092,1.45950878076577,0.00264665980063337,0.00297375118987923,335.168268254911,367.530855909509,1.43856866019801,1.46133850003868,0.00487716178432714,376.374173665689,1.51571846301144,3122.97694069798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00239521493511865,429.18509509769,1.40693324074534,2917.06926290788,4.90866030066285e-05,7.39230573064318,0.00419819183214728,0.00231446747317274,0.00247596239706455,417.024752170782,441.345438024598,1.40002721518146,1.41383926630922,0.00229900519322565,0.00249142467701164,414.69617586563,443.674014329751,1.39870478475433,1.41516169673635,0.00306470607666631,440.209111531685,1.45402494134719,2920.79019495158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","s. mar","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00308502686721839,248.209732724015,1.56685928157129,3575.17029421299,0.000114903054812781,10.8624829288152,0.00741610558404474,0.00289601134205136,0.00327404239238541,230.340948306114,266.078517141916,1.55465978788553,1.57905877525704,0.00285981687978534,0.00331023685465144,226.919266183537,269.500199264493,1.55232371462656,1.58139484851601,0.0050583536371171,256.165013659133,1.65504399090597,3571.67195762906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","s. mar","a_regularis",TRUE,"gompertz",FALSE,FALSE,0,0.00304773670643037,235.121857402494,1.5604921497914,3546.67195275691,0.000114961539387987,10.4281658795872,0.00763858083934048,0.00285862497413714,0.00323684843872361,217.967524530573,252.276190274415,1.54792668431069,1.57305761527212,0.00282241208922992,0.00327306132363083,214.682652278503,255.561062526485,1.54552053134629,1.57546376823651,0.00516096943515199,260.48243687113,1.64395050020258,3546.39594160853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spin","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00222258228834983,375.002489237132,1.42186651909762,2984.31347447178,3.63573527682197e-05,6.39721826325684,0.00357915095452799,0.00216277444304611,0.00228239013365355,364.479065194075,385.52591328019,1.41597881577742,1.42775422241781,0.00215132187692412,0.00229384269977554,362.463941441149,387.541037033116,1.41485138322674,1.42888165496849,0.00245371349766436,350.948740730107,1.45219268195535,2979.81555895797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","s. mar","a_regularis",TRUE,"logistic",FALSE,FALSE,0,0.0033766364151974,282.517331652023,1.58792899095355,3629.56784155982,0.00014976677113121,11.8917860620145,0.00806813039515072,0.00313027007668656,0.00362300275370825,262.955343580009,302.079319724037,1.57465691645353,1.60120106545357,0.00308309354378023,0.00367017928661458,259.209430970474,305.825232333571,1.57211545537906,1.60374252652805,0.00529223577449849,263.227045089917,1.68977346115222,3621.82790043228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","e. coli","a_regularis",TRUE,"richards",FALSE,FALSE,0,0.00223917618493485,417.268757650232,1.49552177191392,3043.84307353635,3.38494128975377e-05,6.02232638973601,0.00374448129376498,0.0021834939007184,0.0022948584691513,407.362030739116,427.175484561348,1.48936210018567,1.50168144364216,0.00217283133565568,0.00230552103421402,405.464997926349,429.072517374114,1.48818258857814,1.5028609552497,0.00299125795967334,554.852175649643,1.52995705469774,3039.83603537373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
