"","treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"37"," 1/8","DC3000","C. inequalis",TRUE,"richards",FALSE,FALSE,0,4.32191472916503,1.58152943037121,1.02215231187974,0.375424492931985,0.609375991840127,0.0290014218372337,0.0201886786959417,3.31949122258802,5.32433823574204,1.53382209144896,1.62923676929346,0.988941935424917,1.05536268833457,3.12753778515838,5.51629167317168,1.52468664357023,1.63837221717219,0.982582501635695,1.06172212212379,3.3167327274937,1.47842385248815,1.09507116957614,0.385689661749575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," 1/2","2698B","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,3.581127636815,0.657354149146693,0.978878915825208,1.18254000738615,0.158297131952956,0.00541848395033608,0.00468310181890521,3.32072885475239,3.84152641887762,0.64844074304839,0.666267555244995,0.971175213333109,0.986582618317307,3.27086525818721,3.8913900154428,0.646733920604034,0.667974377689351,0.969700036260154,0.988057795390262,5.90867559869923,0.644525902534624,1.02256266169278,1.10794612109314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39"," 1/4","S17-1","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,4.27868482577521,1.60445880742297,0.995872072037877,0.302218929675739,0.644557461162753,0.0243020920923733,0.0352719565218821,3.21838780216248,5.33898184938794,1.56448186593102,1.64443574891492,0.937849703559381,1.05389444051637,3.01535220189621,5.54201744965421,1.55682670692192,1.65209090792402,0.926739037254989,1.06500510682077,3.65115203242706,1.53179364900637,1.02720630890622,0.341610601591704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","control","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42"," 1/2","2698B","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,3.70948608172999,0.651297587115855,0.832306977109178,1.03416826711814,0.133944187408698,0.00374350001030843,0.00323260398376381,3.48914789344268,3.92982427001729,0.645139529598897,0.657455644632812,0.826989343555886,0.837624610662469,3.44695547440894,3.97201668905103,0.64396032709565,0.658634847136059,0.825971073301001,0.838642880917355,4.69897702724309,0.624705828639396,0.860395840958728,0.996531973358642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43"," 1/2","2698B","C. inequalis",TRUE,"gompertz",FALSE,FALSE,0,2.77298252536774,0.695247839482569,0.750314617197971,0.879192907746213,0.125147519187197,0.00551828377944169,0.00321420397827237,2.5671148563048,2.97885019443068,0.686170262665387,0.70432541629975,0.745027251653713,0.755601982742229,2.52769338776084,3.01827166297465,0.684432003274863,0.706063675690275,0.744014777400557,0.756614456995385,4.34018924816646,0.673922732266012,0.778019930376669,0.831309852361093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44"," +","SCC477","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46"," +","2698B","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47"," 1/8","S17-1","C. inequalis",TRUE,"logistic",FALSE,FALSE,0,1.37933522369116,1.0312102659565,1.41436020562265,0.725429180540739,0.0778756845466606,0.0382124406031421,0.107631278666752,1.2512297226119,1.50744072477042,0.968350801164329,1.09406973074867,1.23730675221584,1.59141365902945,1.2266988819797,1.53197156540261,0.95631388237434,1.10610664953866,1.20340289943581,1.62531751180948,2.60238318837353,1.3275266506248,1.13818832665361,0.71564990787512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48"," 1/8","2698B","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,8.84357440513974,0.633255969556767,1.39824332424282,1.87307032752933,0.199258856460544,0.0019780179797918,0.0165792682954625,8.51579358626214,9.17135522401733,0.63000212998001,0.636509809133525,1.37097042789678,1.42551622058885,8.45302704647707,9.2341217638024,0.629379054316375,0.637132884797159,1.36574795838371,1.43073869010192,9.03941802826486,0.606695183397757,1.50732299178538,1.87985637105109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," 1/8","DC3000","C. inequalis",TRUE,"gompertz.exp",FALSE,FALSE,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.000392427518774497,2.21009550907685,0.000685215929854672,0.000509635559665828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
