"treatment","microbe","species","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"low dufours","s. mar","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00361368996355311,279.891407161306,1.4612430756775,3504.66619471175,0.00019986557615918,13.0547156921033,0.00859253366938969,0.00328491109077126,0.00394246883633496,258.416399847796,301.366414474816,1.44710835779136,1.47537779356365,0.00322195343428112,0.0040054264928251,254.304164404784,305.478649917829,1.4444017096855,1.47808444166951,0.00496882873956862,269.858945410949,1.58171969263047,3502.16196285842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00307433452376843,565.845482730268,1.34803363488464,2869.10438851133,0.00012206475993903,11.672969142862,0.00557444421858882,0.00287353799366872,0.00327513105386813,546.64344849026,585.047516970276,1.33886367414506,1.35720359562422,0.00283508759428793,0.00331358145324892,542.966463210259,588.724502250278,1.33710772421621,1.35895954555307,0.00353051833325435,604.779920359899,1.43317580651994,2864.24006787333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high sternal","e. coli","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00266898638402172,463.478877633657,1.60755839005619,3423.02681934088,4.57791719527934e-05,5.8663843549603,0.00386425567540336,0.00259367964615937,0.00274429312188407,453.828675369747,473.129079897567,1.60120168947015,1.61391509064223,0.00257925920699425,0.0027587135610492,451.980764297935,474.976990969379,1.5999844489324,1.61513233117998,0.00293201010336054,508.119980847313,1.66284141604242,3417.0892932171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high sternal","s. mar","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00232655518417443,598.33615306337,0.616548324021394,1334.30926677971,0.000473703639104312,30.8840783374506,0.0107173968965486,0.00154731269784784,0.00310579767050102,547.531844198264,649.140461928476,0.598918206126571,0.634178441916216,0.00139809605152998,0.00325501431681888,537.803359521967,658.868946604773,0.595542226104158,0.637554421938629,0.00235505979234583,594.28502522167,0.794647896411411,1335.62056711971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high sternal","e. coli","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00254829100008708,468.359885293012,1.64454958867735,3457.91918381572,4.04515479154397e-05,5.80872741630376,0.00385839867006759,0.00248174820376618,0.00261483379640798,458.804528693193,477.915241892832,1.63820252286509,1.65089665448961,0.00246900596617282,0.00262757603400134,456.974779557057,479.744991028968,1.63698712728402,1.65211205007069,0.003120810400562,562.177992658003,1.69011540792027,3451.85099486427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","s. mar","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.0039612147879533,310.086717300722,1.43716478022509,3453.55809296739,0.000250828113637987,13.1326754286578,0.00873395851382926,0.00354860254101882,0.00437382703488779,288.48346622058,331.689968380865,1.42279741846984,1.45153214198034,0.00346959168522285,0.00445283789068376,284.346673460553,335.826761140892,1.42004622153799,1.4542833389122,0.00432476445787758,266.868803186118,1.56495228576572,3450.10177076114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high sternal","e. coli","a_wilkella",TRUE,"richards",FALSE,FALSE,0,0.00249304201135142,447.397368129785,1.6372817080173,3446.3316288733,3.51609839316482e-05,5.60161621852612,0.00364797687639206,0.00243520219278386,0.00255088182991899,438.182709450309,456.61202680926,1.63128078605564,1.64328262997897,0.00242412648284539,0.00256195753985745,436.418200341474,458.376535918096,1.63013167333957,1.64443174269503,0.00363966679983933,598.688761526222,1.67344550326594,3442.29339963618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"high dufours","s. mar","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00403284504739152,291.97209625319,1.47625001936665,3571.64076266942,0.000248463463048867,12.8917083648051,0.00873590613541082,0.00362412265067613,0.00444156744410691,270.765235993086,313.178956513294,1.4618794537739,1.4906205849594,0.00354585665981574,0.0045198334349673,266.704347858172,317.239844648208,1.45912764334125,1.49337239539206,0.00415250464958753,252.900183943479,1.60628381942892,3569.3572515651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c","e. coli","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00279441536720582,494.888337521769,1.59419584060576,3370.44758725285,5.24510711939116e-05,6.08533961105605,0.00407104425145302,0.00270813335509183,0.0028806973793198,484.877953861582,504.898721181956,1.58749897281212,1.6008927083994,0.00269161126766575,0.00289721946674588,482.961071884099,506.815603159439,1.58621659387291,1.6021750873386,0.00296733485547797,530.000064831571,1.64644156430259,3368.03632755566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"low dufours","s. mar","a_wilkella",TRUE,"logistic",FALSE,FALSE,0,0.00376921005934739,300.478855171771,1.46878923782539,3523.59520976485,0.000210866395650389,12.4553914589806,0.0082183528680068,0.0034223348385025,0.00411608528019228,279.989736221748,320.967974121794,1.45527004735751,1.48230842829326,0.00335591192387263,0.00418250819482216,276.066287912169,324.891422431373,1.45268126620409,1.48489720944668,0.00404470568175934,269.851097109775,1.59231933504262,3519.70742930284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
